      1      1   7381    1.9717      181 189   2 179   2 187      0.0000
  2212    0.000    0.000    -99.9956  0.940    -2.47    -7.71    -0.20     0.20
  2112    0.000    0.000     99.9956  0.940     7.71    -3.14     0.20     0.20
  2212    0.000    0.000    -99.9956  0.940    -6.52     2.13    -0.20     0.20
  2112    0.000    0.000     99.9956  0.940     4.50     8.33     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     5.78    -2.49     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     3.34    -6.74     0.20     0.20
  2112    0.000    0.000    -99.9956  0.940    -6.19    -1.40    -0.20     0.20
  2212    0.000    0.000     99.9956  0.940     6.45    -3.66     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     6.50     0.27     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     7.64    -4.09     0.20     0.20
  2212    0.000    0.000     99.9956  0.940     4.50     3.65     0.20     0.20
  2212    0.000    0.000    -99.9956  0.940    -5.64     4.91    -0.20     0.20
  2212    0.000    0.000     99.9956  0.940     7.32    -0.86     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     4.39    -3.13     0.20     0.20
  2212    0.000    0.000     99.9956  0.940     6.60    -1.22     0.20     0.20
  2112    0.000    0.000    -99.9956  0.940    -1.03    -7.31    -0.20     0.20
  2112    0.000    0.000     99.9956  0.940     6.51    -4.79     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     0.78     6.06     0.20     0.20
  2112    0.000    0.000     99.9956  0.940     6.69    -1.63     0.20     0.20
  2212    0.000    0.000    -99.9956  0.940    -6.37     3.88    -0.20     0.20
  2212    0.000    0.000     99.9956  0.940     5.20     3.22     0.20     0.20
  2112    0.000    0.000    -99.9956  0.940    -5.76    -4.44    -0.20     0.20
  2112    0.000    0.000    -99.9956  0.940    -5.55    -4.66    -0.20     0.20
  2212    0.000    0.000     99.9956  0.940     3.35    -7.14     0.20     0.20
    22    0.171   -0.161     -0.0123  0.000    -2.11     3.60    -0.04     0.80
    22   -0.098    0.126      0.0129  0.000    -2.78    -2.20     0.06     0.80
    22    0.027   -0.070     -0.0073  0.000     2.59     2.06    -0.08     0.80
    22    0.282    0.315     -0.0654  0.000    -1.46    -0.99    -0.12     0.80
    22    0.096    0.069     -0.0206  0.000     4.25     1.65    -0.14     0.80
    22   -0.368   -0.034      0.1081  0.000    -2.98    -0.71     0.22     0.80
    22   -0.503    0.259     -0.2880  0.000     3.18     5.26    -0.36     0.80
    22   -0.030    0.893     -0.4691  0.000    -2.24     0.07    -0.37     0.80
    22    0.307    0.476     -0.3353  0.000    -4.34     0.65    -0.51     1.00
    22    0.380   -0.363     -0.3175  0.000     3.33     0.56    -0.52     1.00
    22   -0.307   -0.023     -0.1861  0.000    -2.48    -1.65    -0.52     1.00
    22   -0.435   -0.048     -0.2829  0.000    -2.41    -0.19    -0.54     1.00
    22    0.147    0.052     -0.1023  0.000     0.60     4.13    -0.55     1.00
    22   -0.053   -0.219      0.1693  0.000    -1.89     0.51     0.60     1.00
    22    0.034    0.320      0.2458  0.000     0.96     3.96     0.61     1.00
    22   -0.074    0.015      0.0610  0.000     3.35    -3.65     0.63     1.00
    22   -1.124   -1.192      1.4019  0.000     2.31     0.47     0.65     1.00
    22    0.047   -0.060      0.0752  0.000     0.18    -0.67     0.70     1.00
    22   -0.336   -0.055     -0.3372  0.000    -5.44    -4.15    -0.70     1.00
    22    0.045   -0.888      0.9002  0.000     2.87     0.32     0.71     1.00
    22    0.064   -0.424      0.4361  0.000    -1.01     4.09     0.71     1.00
   211    0.274    0.420     -0.1401  0.140     4.11     6.85    -1.29     3.20
    22   -0.079   -0.232      0.2694  0.000     0.50    -0.39     0.89     1.20
    22    0.383   -0.663      0.9360  0.000    -1.35     4.96     0.93     1.20
   211   -0.942    0.365      0.4706  0.140    -8.11     1.34     0.89     3.20
  -211    1.234    0.814     -0.1334  0.140    10.21    11.91    -1.07    10.80
   111   -0.198   -0.384      0.3236  0.135    -7.48    -0.38     2.73     9.20
   211    0.822    0.251     -0.7906  0.140    17.82     6.60   -16.50    25.00
   111   -0.402    0.277      0.3738  0.135    -4.36     6.13     0.77     2.00
    22    0.380   -0.047      0.5925  0.000    -0.87    -1.68     1.18     1.40
   211   -0.223    0.225     -0.1162  0.140   -22.70    -0.53     1.97    19.60
   111    0.115   -0.360     -0.1562  0.135     3.88   -12.96    -8.50    14.00
    22    0.248    0.074      0.4501  0.000     1.96    -5.27     1.39     1.60
   111   -0.023   -0.178      0.4783  0.135 -.41E+05 -.75E+05 0.17E+06 0.19E+06
  -211   -0.501   -1.003     -0.1897  0.140    -6.89    -6.59    -0.82     4.40
    22    0.298   -0.149     -0.6270  0.000     4.48     4.60    -1.41     1.60
   211   -0.586   -0.260      1.4573  0.140    -8.03    -9.50    16.14    18.20
   211   -0.103   -0.265      0.2682  0.140   -13.39    -4.11    17.17    24.60
   211   -0.647   -0.049      0.1109  0.140   -12.83     0.42     1.89    12.20
   111   -0.068   -0.142      0.2333  0.135 -.41E+05 -.75E+05 0.17E+06 0.19E+06
   111   -0.038   -0.026      0.0288  0.135     3.77   -12.92    -0.16     9.20
   211    0.467   -0.206      0.2393  0.140    12.82    -2.40     8.42    16.40
   111   -0.243    1.150      0.1538  0.135     0.38     8.01     1.28     5.20
   111   -0.277    0.683     -0.1693  0.135    -4.34     6.85    -0.25     2.40
   211   -0.185    0.080     -0.6411  0.140 -.28E+05 0.47E+04 -.27E+06 0.29E+06
   111   -0.001   -0.532     -0.4689  0.135     0.16    -6.34    -1.73     3.20
   111    0.624    0.534      0.9653  0.135     3.68     6.37     2.03     3.20
   211   -0.172   -0.104      0.2412  0.140    -9.33    -6.95    -0.44     8.40
   111   -0.502   -0.697     -0.6016  0.135     1.78    -6.53    -1.23     2.20
   111    0.743   -0.180      0.4298  0.135     7.13    -2.82     1.22     3.40
   211    0.752   -0.173      0.2211  0.140     4.59    -5.52     7.01    10.80
  -211   -0.658    0.127     -0.6035  0.140    -6.31     6.40    -2.54     4.20
  -211   -0.032    0.127     -0.3029  0.140    -8.68     2.30    -9.08    10.80
    22    0.354   -0.122     -0.8708  0.000    -4.70     0.80    -1.65     1.80
   111   -0.493   -0.105      0.2407  0.135    -4.71    -1.48     3.66    13.40
   111    0.055   -0.071     -0.2320  0.135 -.28E+05 0.47E+04 -.27E+06 0.29E+06
   211    0.255    0.688      0.1461  0.140    -4.16     6.23     0.69     2.00
   111   -0.078   -0.611     -0.5542  0.135    -0.60    -7.16    -4.67     6.00
    22   -0.178   -0.040     -0.4494  0.000    -5.17    -3.24    -1.85     2.00
  -211   -0.007    0.177     -0.2090  0.140    -4.61    15.36    -2.56    18.00
   111   -0.069    0.023     -0.1066  0.135     1.94     9.68   -30.84    36.34
   211    0.369   -0.133      0.0232  0.140    12.60     0.74    -5.09    14.40
   111    0.121    0.021      0.2768  0.135     1.83     0.64     2.07     9.00
   211    0.337   -0.280     -1.5202  0.140 0.34E+06 -.28E+06 -.19E+07 0.20E+07
   211    0.419    0.136     -0.3111  0.140     7.88     1.18    -2.71     5.40
  -211   -0.606   -0.636     -2.6230  0.140    -4.18    -4.47    -9.02     9.60
  -211    0.025   -0.958      0.6469  0.140     5.33    -7.96     5.46     7.20
   211    0.214   -0.594      2.4963  0.140    -1.41   -10.33    13.45    14.40
   111    0.174    0.813      0.5423  0.135    -0.50     7.66     1.27     3.00
  -211   -0.108    0.323     -0.1130  0.140    -8.36     7.61     4.33    21.00
  -211    0.301   -0.258     -0.2015  0.140     2.00    -6.51    -1.20     2.20
   111   -0.511    0.669     -0.1031  0.135    -7.13     7.14     0.59     5.40
   111   -0.667   -1.189     -1.6268  0.135    -7.17    -6.75    -5.70     7.00
